	PL001 	PL002	PL003	PL004	PL005	PL006	PL007	PL008	PL009	PL010	PL011	PL012	PL013	PL014	PL015	PL016	PL017	PL018	PL019	PL020	PL021	PL022	PL023	PL024	PL025	PL026	PL027	PL028	PL029	PL030	PL031	PL032	PL033	PL034	PL035	PL036	PL037	PL038	PL039	PL040	PL043	PL044	PL045	PL046	PL047	PL048	PL049	PL050	PL051	PL052	PL053	PL054
AT-PD1	0	2.1	0	3	1.7	0	0	0	0.6	0	0	0	0	0	0	0	0	0.7	0	0	0	0.3	0.5	0	0	0	1.1	0	1.3	0	0	0	0	8.2	0	0	0	1.1	3.8	0	0	0.3	0	1.6	1	0	0	0	0	0	0.6	0
"10S,17SdiHDHA"	0	0	1.2	0	0.7	0	0.9	0	1.2	2.3	0	0	0	2.4	1.1	0	2.6	1.9	0	0	0	0	0	4.7	0	0	0	0	0	0	0	0	0	4.2	4.6	3.2	0	4	0	6.2	4.5	0	0	0	3.8	0	0	0	0	0	0	0
22OHPD1	0	0	0	70.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.4	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7	0	0
PCTR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	2.3	0	0	1.6	0
PCTR2	0	0	0	0	0	0	0	0	4.4	2.3	0	0	0	5.3	6.5	3.6	17.2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9	39.6	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCTR3	0	0	2.9	0	0	0	0	1.2	0	0	2.7	4.1	43.3	51	0	0	69.7	43.5	7.5	141.1	129.2	0	10.1	0	0	0	0	0	0	0	0	0	0	2.7	0	0	101.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7S,14S diHDHA"	3.3	4.8	0	0	0	0	0	17.2	0	0	0	0	0	0	0	0	0	40.7	0	0	0	0	0	17.5	0	0	0	0	0	12.8	0	0	0	0	0	1.2	14.8	0	0	16.2	5.1	0	0	0	12.3	31.8	0	0	0	0	0	0
Maresin2	0.5	1.5	0	1.8	1.6	2	1.1	4.8	0	0	1.3	0	1.4	0	0	0	2.7	0	1.2	0	0	0	0	0	0.9	0	0	1.4	1.7	0	1.3	4.2	1.9	0	0	0	4.7	2.3	0	0	3.5	0	0	0	0.9	0	0	0	0	0	0.5	0
"4,14-diHDHA"	0.4	0	1	4.5	0	2.3	1.2	0	1.1	2.5	1.9	0	0	1.4	0.6	1.6	0	4.3	0	1	1	0	0	13.4	0	0	0	0	2.2	2.5	6.9	2.8	1.9	15.8	7.4	14.4	9.8	3.7	3.6	11.4	12.3	1.4	0	3	3.3	0	0	0.5	0.6	0.9	0	0
14-oxo-MaR1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	2.6	0	4.1	5.9	2.2	9.2	2	3.3	1.8	4.8	6.7	2.4	6.2	8.8	13.2	4	4.2	0	5	4.4	2.1	0.3	0.2	0.9	0	0	0
22-OH-MaR1	1.6	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	14.2	0	0	0	3.1	5.5	0	0.9	0	0	0	112.9	0	0	0	0	0	0	0	0	0	0	0	0	34.7	0	0	0	82.1	0	0	0	0	0	0
MCTR1	0	4.7	0	1.6	0	3.2	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	3	1.9	0	0	0	0	0	0	0	0	0
MCTR2	0	0	0	0	0	0	0	0	0	0	4.8	1.7	3.7	4.2	4.1	3.5	11.8	0	1.5	0	2.2	0	2.3	0	0	0	0	1.2	0	1.6	0	1.8	0	0.8	0	1.4	23.1	0	2	1.6	0	1.7	0	0	0	0	0	0	0	0	0	0
MCTR3	0	0	2.5	0	0	0	0	0	0	0	8.5	7.7	36.1	51.5	0	10.6	40.6	25	4.6	39.3	0	3.9	6.2	0	1.5	15.3	0	0.1	0	0	0	0.8	0	2.2	0	0	53.2	0	0	0	22.1	32	0	0	19.1	13.1	0	0	0	0	0	2
RvT1n3 DPA	0	0	0	0	0	0	0	0	0	0	19.1	0	8.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.3	0	5.9	0	0	3.3	0	0	0	0	0	0	0	1.1	0.8	0	0.1
RvT2n3 DPA	0	0	0	0	0	0	0	0	0	1.5	1.3	0.5	0.7	2.7	0	0.8	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	1.1	0	0	0	0	0	0	0	0	0	2.8	1.9	1.2	0	5.7	0	0	0	0
RvT3n3 DPA	0	0	0	0	0	0	0	0	0	0	0	0.9	3.1	5.1	2.7	1.1	2.1	1.5	3.7	1.2	1.4	5.3	16.6	1.6	1	3	2.3	2.1	0	7.3	5.5	3.6	4	0.8	3.2	4	0	5.1	2.8	5.2	5.1	8.8	2.6	6.9	3.2	6.3	6	4.8	3.2	12.1	0.8	1.1
RvT4n3 DPA	1.3	2.3	0.9	0.7	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0.7	1.6	0.7	0.4	0.3	0.8	0.7	0.9	0	0	0	0	2.4	1.2	0	0.6	1.3	0.7	1.8	0	1.9	0.7	2.2	0	0	3.1	1.1	0.9	0	0.4	0.4	0.4	0.8	0.3	0
RvD1n3 DPA	11.9	4.3	4.5	9.6	4.1	1.8	3	2.6	7.4	1.8	0	3.2	3.9	19.9	2.4	2.1	2.8	1.3	3.5	3.2	2	6.6	12.3	1.2	1.2	4.7	2.5	5.4	2.4	10.4	6.2	5.7	3	0.8	5.3	4	5	7.5	3.4	2.5	4.1	6.1	2	6.1	4.8	11.3	5.7	4.6	2.6	8.3	0	0
RvD2n3 DPA	7.4	24.4	5.6	3.5	4.5	0.8	2.5	0	0	0	0	2.2	4.6	23.4	0	0	5.1	0	0	0	0	0	0	0	7	0	0	0	0	18.2	11.1	0	0	0	0	12.4	11.6	0	0	0	0	0	0	0	9.8	0	0	0	6.1	0	0	0
RvD5n3 DPA	0.7	2.8	2.5	5.5	2.8	2.9	0	0	3.2	0	2.1	4	2.6	39.3	1.5	6.1	0.8	11	0	0	0	4.7	2.1	3.4	0	0	0	5.3	0	0	10.2	0	0	0	8.9	3.9	7.3	0	23.1	0	12.4	0	0	0	0	0	0	0	0	1.6	0	0
PD1n3 DPA	1.2	1.6	1.4	1.2	0	2	1.1	0	0	0	0	0	0.9	0.6	0.9	0	1.1	2.6	0	0	0	0	0	0	1.8	0	0	2.3	0	3.4	0	2.8	0	4.5	0	4.1	3.8	3.7	2.2	0	0	0	4.5	1.7	0	0	0.5	0	0	0	0	0
"10S,17S-diHDPA"	0	0	0.6	1.5	0	1.6	0.7	2	0.6	0	0	0	0	0	0	0	0	0	0	0	0.8	1	0	9.6	0.5	2.2	0	0	0	0	3.4	1.7	4.4	7.8	3.8	1.5	6.1	3.4	2.3	2.2	5	2.1	2.7	0	0	0	0	0	0	0	0	0
MaR1n3 DPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	2.1	1.3	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	8.5	0	0	4.4	1.4	0	0	4.8	0	0	0	1.2	0	4.5	0
RvE1	0	0	0	1.9	0	0.6	0.5	1.9	1	10	0	0	7.5	4.4	7	0	4.6	3.1	0	7.6	0	3.8	0	2.3	0	0	0	0	0	7.1	0	0	1.9	0	6.1	2.7	3.8	0	0	5	3.3	0	14.9	9.8	0	0	0	0	0	0	0	0.9
RvE2	0.7	0	1.5	0.8	0	0	0	0	0	0	0	7.4	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.9	0	2.4	2.4	2	5	0	0	3.6	2.8	2.4	3	3.3	0	0	0	0	0.3	0	1.7	0	0.3
RvE3	0	1.4	0	1.1	12.7	2.6	0.6	0	0	8	10.5	5.1	6.1	0	0	0	0	0	1.2	9.2	0	0	0	11.1	0	0	8.5	0	9.1	0	12.2	4.6	0	0	3.9	3.9	8.7	0	15.8	9.7	0	0	0	3.5	6.1	3.6	3.5	0	0	5.8	5.9	0
LXA4	0	0	0	0	0	0	0	0	0	5	0	0	3.5	3.5	1.6	0	0	1.6	0	0	0	0	1.8	2.2	0	0	0	0	5.8	0	0	0	0	12.4	0	0	0	0	0	0	0	2.1	0	0	4.9	0	1.4	0.3	0	0	0	0.2
LXB4	3	0	0	0	0	0	0	3.7	0	0	0	0	0	0	0	0	0	0	118.5	0	0	0	0	6.1	0	0	0	0	0	23	7.5	0	0	8.1	0	0	29	0	0	0	0	0	0	0	0	0	0.7	0	0	0	9.8	12
"5,15-diHETE"	25.4	0	12.6	19.2	32	46.7	0	38.2	28.6	10	26.3	11	13.8	21.9	58.9	24.7	32	159.2	44.4	30.2	38.6	21.2	17.8	159.2	50.7	22.8	0	52	109.5	0	0	0	62.6	132.5	100.2	106.6	69.7	67.4	36.6	71.1	72.2	19.3	50.7	27.5	46.1	47.9	24.5	25.2	18.4	13.3	8.1	27
AT-LXA4	6	4.2	1.5	1	0.5	2.4	0	1.2	1.3	0	1.2	1.1	0	0	0.6	0	0	0.8	0	0	0	0	0.6	1.9	2.6	0	0	2.2	0	0	2.2	0	3	48.2	8.3	13.4	16.9	0	5.1	6.6	12.1	1.9	0	0	0	0	2.7	0.3	0.5	0.6	1	2.8
AT-LXB4	24.3	0	9.9	14.4	9.5	0	0	0	0	0	0	0	0	0	5.8	4.1	0	0	0	3.6	2.7	7.6	4.3	12.9	0	4.9	0	13.1	0	0	26	43.4	17.9	18.5	0	8	0	0	23.7	0	0	19.4	0	0	25.5	0	7.8	3.2	0	3	2	2.4
LTB4	17	2.1	37.8	174.2	20	281.7	65.5	33.2	45.1	50.7	60.7	109	16.1	8.4	62	41.9	41	25	8.2	6.1	34.2	30.8	6.9	68.7	81.4	300.5	40	39.9	168	91.5	23	198.7	92.7	314.5	16.3	115.5	92.2	27.6	17.3	64.2	183.6	269	21.6	53.4	136.2	46.9	801.6	10	18.9	16.9	6.3	5.6
"5,12 diHETE"	2	0.5	0.6	38	3.7	0	0	0	0.8	4	1.1	0	0	0.6	3.8	2.9	2	2.4	0.4	0.4	0	0.9	0.4	270.8	0	0	3.7	0	0	3.5	2.7	7.7	0	57.3	48.6	17.4	6.6	8.8	29.1	4.7	76.8	0	3.4	1.4	6.1	6.6	0	0	0	0	1	0.9
20-OH-LTB4	3.1	0	9.4	475.4	8.9	150.1	33	5	30.1	16.5	63.2	86	5.4	10	27	34.6	25.4	17.5	6.6	0.9	11.4	12.1	1.4	35.1	36.9	408.8	45.8	3.3	165.5	125.5	11.2	179.6	30.9	122.9	390.8	325.4	50.6	6.1	8.4	62.6	605.9	161.2	17.5	70.5	109.5	106	962.1	2.9	14.1	10.8	2.4	2.1
20-COOH-LTB4	4.3	0.3	4.5	159.6	2.3	39.4	10.6	1.7	12.5	3.7	5.9	12.8	1.3	6.7	1.7	3.4	2.1	3.2	4.8	0	0.7	2.2	0	8.8	9.5	19.4	0	0	30.4	34.3	18.8	32.9	12.6	63.5	0	37.6	12.1	16.1	8.4	13	163.4	9.7	0	10.5	21.8	51.5	25.9	0.2	0.5	0.5	0	0
6-trans-LTB4	0.6	0.8	1.2	10.5	1.2	12.6	2.4	1.8	1.2	2.8	3.4	6	1.5	0	2.1	2.1	3.1	1.4	1.1	0	1.1	1.2	0	4.2	2.8	9	6.4	0	3.9	3.6	1.9	4.5	3.8	39	4	7.5	6.6	3.5	2.8	3.4	11.4	5.5	0	0	3.8	2.2	16.5	0.2	0.6	0.3	0.3	0.4
12-epi-6-trans-LTB4	2.1	1.2	2.1	5	2.2	15	2.8	2.8	2.2	0	3.6	5.9	0.6	0	3.7	3.7	1.2	2.5	1.2	1.2	2.1	2	0.8	17.3	2.8	9.6	0	2.3	7.1	3.8	2.3	9.3	6.2	43.6	2.9	9.1	7.8	4.7	8.1	7.3	22.7	6.3	3.8	6.1	7.7	2.7	20.2	0.4	1.1	0.8	0.1	0.4
LTC4	4.2	0	0	3.1	0	1.9	2.8	3.9	12.7	15.1	45	68.7	7.8	5.6	28.1	7.1	19.6	10.8	2.3	4	16	8.3	4.3	2.4	2.2	39.5	2.8	0	51.9	0	4.2	15.5	16.2	26.1	0	2.3	0	1.1	0	4.5	5	106.6	9.2	45.4	5.2	11.1	151.5	4.2	0	0.8	0	0
LTD4	4.1	0	0	10.2	0	2.8	4.6	0	13.9	8.8	16.2	37.8	1.8	0	18.8	0	1.8	6	2.1	1.3	5.3	3.6	1.9	0	3.7	21	3.7	0	53.2	0	3.3	5.5	10.2	4.1	0	6.4	0	7.6	0	3.7	0	27.6	2.2	16.6	0	3.9	55.7	1.6	0	4.1	0	0
LTE4	8.4	0	18.7	149.2	18	174.6	53.6	12.7	37.9	42.8	17.3	28	1.8	6.7	22.7	48.3	20.4	5.4	2.7	2.5	6.4	22.1	0.8	58.2	27.3	14.8	6.5	21.2	38.1	122.5	13.9	164.6	110.5	134	20.2	124.4	149.2	91.6	30.3	97.8	291.5	140.4	4.5	20.4	39.6	10.1	124.2	4.2	14.4	7.3	5.8	3.9
PGD2	1.3	54.9	4.2	8.2	2.8	23.8	7.1	9	8	6.5	1.2	7.5	3.1	3.3	7.9	2.9	7.5	5.1	1.1	3.4	0.8	1.4	1.8	54.1	8.3	0	21.7	3.2	8.6	4.6	0	7.2	3.5	156.2	13.5	61	5.3	2.3	4.4	6.8	16.1	4.5	4.9	5.1	12.4	12.5	7.9	4.1	1.2	1.2	1.2	3.5
PGE2	5.4	42.4	19.9	7.4	3	31.7	4.3	7.7	1.8	1.5	6.7	2.6	2.2	38	6.8	3.2	5.1	3.8	7.9	1.4	0	4	0.5	155.8	4.5	1.6	18	0	11.3	3.7	0	21.6	3.8	45.4	7.9	116.2	9.7	1.8	29.3	22.1	61.7	9	5	4.3	29.1	20.5	16.5	2.9	1.8	2.6	0.6	0.8
PGF2a	26	30.6	12.3	33.7	25.3	33	13.8	5.9	17.2	8.4	1.4	11	4.3	15	33	4.5	15.9	0	9	7.4	2.6	8.5	18.9	488.7	3	5.4	19.1	1.4	1.5	20.9	9.5	2	14.6	42.7	51	137	11.5	1.8	19.1	3.2	99.5	28.9	0	23.9	70.5	38.5	4	28.1	3.6	10.1	5.3	3.5
TXB2	2.2	15.1	5.5	146.7	13.7	44.2	3.2	1.8	20.4	0	17	12.6	2.1	0	99.3	5.1	0	1.6	15.4	1.3	2.1	10.9	6.4	363.4	4.7	2.5	150.3	34.5	17	4.9	0	124.4	1.8	127.5	54.5	168.8	0	0	155.4	2.7	428.5	11.5	0	9.1	354.9	65.9	219.6	6.7	72.2	19.1	5.1	0.3
